,angle_deg,freq_THz,trans
931,-18.0,220.0,0.3591893449474653
930,-18.0,221.42857142857144,0.321395272186365
929,-18.0,222.8571428571429,0.283706686535595
928,-18.0,224.28571428571428,0.2477224517888446
927,-18.0,225.7142857142857,0.2149202949808817
926,-18.0,227.14285714285717,0.1865399106251414
925,-18.0,228.57142857142856,0.1634835505259626
924,-18.0,230.0,0.1462422909519944
923,-18.0,231.42857142857144,0.1348546629720129
922,-18.0,232.8571428571429,0.128903400485414
921,-18.0,234.28571428571428,0.1275540446597881
920,-18.0,235.7142857142857,0.1296349206118022
919,-18.0,237.14285714285717,0.1337520854154486
918,-18.0,238.57142857142856,0.1384272139755338
917,-18.0,240.0,0.1422431610749335
916,-18.0,241.42857142857144,0.1439819424010152
915,-18.0,242.8571428571429,0.1427422425498467
914,-18.0,244.28571428571428,0.1380265941264507
913,-18.0,245.7142857142857,0.1297909523510828
912,-18.0,247.14285714285717,0.1184517014447004
911,-18.0,248.57142857142856,0.1048482474564249
910,-18.0,250.0,0.0901640307200802
909,-18.0,251.42857142857144,0.075814468887718
908,-18.0,252.8571428571429,0.0633152125049761
907,-18.0,254.28571428571428,0.0541462561412412
906,-18.0,255.7142857142857,0.0496262369865048
905,-18.0,257.1428571428572,0.0508076947853757
904,-18.0,258.57142857142856,0.0584000813822212
903,-18.0,260.0,0.0727243389981864
902,-18.0,261.42857142857144,0.0937010023086591
901,-18.0,262.8571428571429,0.1208719720864704
900,-18.0,264.2857142857143,0.1534532512583493
899,-18.0,265.7142857142857,0.1904119645471889
898,-18.0,267.1428571428572,0.2305571693979811
897,-18.0,268.57142857142856,0.2726321447180773
896,-18.0,270.0,0.3153971505346959
895,-18.0,271.42857142857144,0.3576956894424343
894,-18.0,272.8571428571429,0.3985023325702955
893,-18.0,274.2857142857143,0.4369541379115542
892,-18.0,275.7142857142857,0.4723693124170237
891,-18.0,277.1428571428572,0.5042561039819898
890,-18.0,278.57142857142856,0.5323131086373137
889,-18.0,280.0,0.5564207376221644
888,-18.0,281.42857142857144,0.576623507559924
887,-18.0,282.8571428571429,0.5931041151670624
886,-18.0,284.2857142857143,0.6061520848780493
885,-18.0,285.7142857142857,0.6161309986052987
884,-18.0,287.1428571428571,0.6234481903288857
883,-18.0,288.57142857142856,0.6285293318755097
882,-18.0,290.0,0.6317982328878616
981,-17.076923076923077,220.0,0.4044431571142736
980,-17.076923076923077,221.42857142857144,0.3660707322468403
979,-17.076923076923077,222.8571428571429,0.3269494097964855
978,-17.076923076923077,224.28571428571428,0.2887032687149198
977,-17.076923076923077,225.7142857142857,0.2529047985543027
976,-17.076923076923077,227.14285714285717,0.2209500718463062
975,-17.076923076923077,228.57142857142856,0.1939430935450254
974,-17.076923076923077,230.0,0.1726029828935874
973,-17.076923076923077,231.42857142857144,0.1572036282100301
972,-17.076923076923077,232.8571428571429,0.147551535378662
971,-17.076923076923077,234.28571428571428,0.1430047110711995
970,-17.076923076923077,235.7142857142857,0.1425330241904522
969,-17.076923076923077,237.14285714285717,0.144817316786188
968,-17.076923076923077,238.57142857142856,0.148379952116161
967,-17.076923076923077,240.0,0.151734292451944
966,-17.076923076923077,241.42857142857144,0.1535366973266628
965,-17.076923076923077,242.8571428571429,0.1527237719721901
964,-17.076923076923077,244.28571428571428,0.1486201440393239
963,-17.076923076923077,245.7142857142857,0.1410067789892777
962,-17.076923076923077,247.14285714285717,0.130144882564659
961,-17.076923076923077,248.57142857142856,0.1167545524207586
960,-17.076923076923077,250.0,0.1019505787690343
959,-17.076923076923077,251.42857142857144,0.0871410204523967
958,-17.076923076923077,252.8571428571429,0.0738979785635761
957,-17.076923076923077,254.28571428571428,0.0638138309045499
956,-17.076923076923077,255.7142857142857,0.0583585942654436
955,-17.076923076923077,257.1428571428572,0.0587536431729103
954,-17.076923076923077,258.57142857142856,0.065873536290734
953,-17.076923076923077,260.0,0.0801824968947068
952,-17.076923076923077,261.42857142857144,0.1017071849892305
951,-17.076923076923077,262.8571428571429,0.1300442281652543
950,-17.076923076923077,264.2857142857143,0.1643995839584973
949,-17.076923076923077,265.7142857142857,0.2036560223128163
948,-17.076923076923077,267.1428571428572,0.2464634969700712
947,-17.076923076923077,268.57142857142856,0.2913444991198957
946,-17.076923076923077,270.0,0.3368035845621395
945,-17.076923076923077,271.42857142857144,0.3814288525138374
944,-17.076923076923077,272.8571428571429,0.4239745540172142
943,-17.076923076923077,274.2857142857143,0.4634181836802227
942,-17.076923076923077,275.7142857142857,0.498990886145097
941,-17.076923076923077,277.1428571428572,0.5301847181487743
940,-17.076923076923077,278.57142857142856,0.5567427220398908
939,-17.076923076923077,280.0,0.5786376089548839
938,-17.076923076923077,281.42857142857144,0.5960430267742427
937,-17.076923076923077,282.8571428571429,0.609299339609389
936,-17.076923076923077,284.2857142857143,0.6188747450819267
935,-17.076923076923077,285.7142857142857,0.625322780517405
934,-17.076923076923077,287.1428571428571,0.6292383622031805
933,-17.076923076923077,288.57142857142856,0.6312155730972131
932,-17.076923076923077,290.0,0.6318107052394568
1032,-16.153846153846153,220.0,0.4492955160535929
1031,-16.153846153846153,221.42857142857144,0.4112620860610848
1030,-16.153846153846153,222.8571428571429,0.3716850511323342
1029,-16.153846153846153,224.28571428571428,0.3321536177418929
1028,-16.153846153846153,225.7142857142857,0.2942601813664122
1027,-16.153846153846153,227.14285714285717,0.259484627955556
1026,-16.153846153846153,228.57142857142856,0.2290748694513143
1025,-16.153846153846153,230.0,0.2039390376660583
1024,-16.153846153846153,231.42857142857144,0.1845644716748604
1023,-16.153846153846153,232.8571428571429,0.1709748435427653
1022,-16.153846153846153,234.28571428571428,0.1627312142297428
1021,-16.153846153846153,235.7142857142857,0.1589774573622601
1020,-16.153846153846153,237.14285714285717,0.1585263224108656
1019,-16.153846153846153,238.57142857142856,0.15997915862511
1018,-16.153846153846153,240.0,0.1618691751977718
1017,-16.153846153846153,241.42857142857144,0.1628147922316408
1016,-16.153846153846153,242.8571428571429,0.1616669388292664
1015,-16.153846153846153,244.28571428571428,0.1576335245379106
1014,-16.153846153846153,245.7142857142857,0.1503667541177687
1013,-16.153846153846153,247.14285714285717,0.1400041537754312
1012,-16.153846153846153,248.57142857142856,0.1271605385331101
1010,-16.153846153846153,250.0,0.1128737912480288
1009,-16.153846153846153,251.42857142857144,0.0985112054646817
1008,-16.153846153846153,252.8571428571429,0.0856455040957635
1007,-16.153846153846153,254.28571428571428,0.0759114504322958
1006,-16.153846153846153,255.7142857142857,0.0708558763354759
1005,-16.153846153846153,257.1428571428572,0.0717956082887835
1004,-16.153846153846153,258.57142857142856,0.0796979707388157
1003,-16.153846153846153,260.0,0.0950961727902115
1002,-16.153846153846153,261.42857142857144,0.1180469215871939
1001,-16.153846153846153,262.8571428571429,0.148131413670211
1000,-16.153846153846153,264.2857142857143,0.1844954515780968
999,-16.153846153846153,265.7142857142857,0.2259212767965995
998,-16.153846153846153,267.1428571428572,0.2709228809420652
997,-16.153846153846153,268.57142857142856,0.3178568890403316
996,-16.153846153846153,270.0,0.3650411403772112
995,-16.153846153846153,271.42857142857144,0.4108721447282814
994,-16.153846153846153,272.8571428571429,0.4539312548411146
993,-16.153846153846153,274.2857142857143,0.4930691132961606
