,angle_deg,freq_THz,trans
10,1.8947,254.0,0.0201
490,1.8947,255.0,0.0198
402,1.8947,256.0,0.019
1015,1.8947,257.0,0.0177
345,1.8947,258.0,0.0161
1305,1.8947,259.0,0.0143
625,1.8947,260.0,0.0123
588,1.8947,261.0,0.0103
1193,1.8947,262.0,0.0084
770,1.8947,263.0,0.0068
383,1.8947,264.0,0.0057
907,1.8947,265.0,0.0051
489,1.8947,266.0,0.0052
914,1.8947,267.0,0.006
1115,1.8947,268.0,0.0077
743,1.8947,269.0,0.0103
1201,1.8947,270.0,0.0138
7,1.8947,271.0,0.0182
680,1.8947,272.0,0.0235
308,1.8947,273.0,0.0297
178,1.8947,274.0,0.0367
321,1.8947,275.0,0.0444
393,1.8947,276.0,0.0525
691,1.8947,277.0,0.061
337,1.8947,278.0,0.0697
1100,1.8947,279.0,0.0782
672,1.8947,280.0,0.0864
1258,1.8947,281.0,0.0939
511,1.8947,282.0,0.1006
583,1.8947,283.0,0.1061
1051,1.8947,284.0,0.1104
52,1.8947,285.0,0.1131
1356,1.8947,286.0,0.1141
223,1.8947,287.0,0.1134
1009,1.8947,288.0,0.111
850,1.8947,289.0,0.1069
657,1.8947,290.0,0.1012
261,2.8421,220.0,0.7053
350,2.8421,221.0,0.6848
1272,2.8421,222.0,0.6611
1157,2.8421,223.0,0.6343
1032,2.8421,224.0,0.6043
1223,2.8421,225.0,0.5713
1145,2.8421,226.0,0.5358
1097,2.8421,227.0,0.498
269,2.8421,228.0,0.4585
800,2.8421,229.0,0.4179
916,2.8421,230.0,0.3768
409,2.8421,231.0,0.3359
1120,2.8421,232.0,0.2958
1396,2.8421,233.0,0.2573
1334,2.8421,234.0,0.2208
243,2.8421,235.0,0.1868
622,2.8421,236.0,0.1559
1303,2.8421,237.0,0.1282
1172,2.8421,238.0,0.104
470,2.8421,239.0,0.0834
805,2.8421,240.0,0.0662
359,2.8421,241.0,0.0523
44,2.8421,242.0,0.0415
252,2.8421,243.0,0.0335
537,2.8421,244.0,0.0278
1386,2.8421,245.0,0.0241
434,2.8421,246.0,0.022
896,2.8421,247.0,0.021
1056,2.8421,248.0,0.0207
620,2.8421,249.0,0.0209
619,2.8421,250.0,0.0212
1335,2.8421,251.0,0.0214
597,2.8421,252.0,0.0213
1407,2.8421,253.0,0.0209
440,2.8421,254.0,0.0201
471,2.8421,255.0,0.0188
911,2.8421,256.0,0.0173
220,2.8421,257.0,0.0154
257,2.8421,258.0,0.0134
688,2.8421,259.0,0.0113
686,2.8421,260.0,0.0092
240,2.8421,261.0,0.0073
687,2.8421,262.0,0.0058
884,2.8421,263.0,0.0046
317,2.8421,264.0,0.004
1197,2.8421,265.0,0.0039
1266,2.8421,266.0,0.0046
320,2.8421,267.0,0.0059
1165,2.8421,268.0,0.0081
26,2.8421,269.0,0.0111
943,2.8421,270.0,0.0149
628,2.8421,271.0,0.0196
1292,2.8421,272.0,0.0251
679,2.8421,273.0,0.0315
370,2.8421,274.0,0.0385
1387,2.8421,275.0,0.0462
1002,2.8421,276.0,0.0543
1131,2.8421,277.0,0.0628
1364,2.8421,278.0,0.0714
730,2.8421,279.0,0.0799
463,2.8421,280.0,0.0881
457,2.8421,281.0,0.0957
176,2.8421,282.0,0.1023
264,2.8421,283.0,0.1079
201,2.8421,284.0,0.1121
1151,2.8421,285.0,0.1148
898,2.8421,286.0,0.1158
307,2.8421,287.0,0.115
1261,2.8421,288.0,0.1124
1256,2.8421,289.0,0.1081
897,2.8421,290.0,0.1022
17,3.7895,220.0,0.7034
952,3.7895,221.0,0.682
556,3.7895,222.0,0.6573
1068,3.7895,223.0,0.6292
509,3.7895,224.0,0.5978
1023,3.7895,225.0,0.5635
309,3.7895,226.0,0.5265
133,3.7895,227.0,0.4874
1106,3.7895,228.0,0.4467
1149,3.7895,229.0,0.4052
1353,3.7895,230.0,0.3636
1397,3.7895,231.0,0.3224
966,3.7895,232.0,0.2826
114,3.7895,233.0,0.2447
1119,3.7895,234.0,0.2092
1300,3.7895,235.0,0.1767
75,3.7895,236.0,0.1476
603,3.7895,237.0,0.122
1021,3.7895,238.0,0.1
1229,3.7895,239.0,0.0817
60,3.7895,240.0,0.0668
267,3.7895,241.0,0.0551
399,3.7895,242.0,0.0463
105,3.7895,243.0,0.0399
517,3.7895,244.0,0.0355
648,3.7895,245.0,0.0327
891,3.7895,246.0,0.031
847,3.7895,247.0,0.0301
85,3.7895,248.0,0.0294
449,3.7895,249.0,0.0289
665,3.7895,250.0,0.0281
1053,3.7895,251.0,0.0271
333,3.7895,252.0,0.0257
1287,3.7895,253.0,0.0238
961,3.7895,254.0,0.0216
99,3.7895,255.0,0.019
69,3.7895,256.0,0.0163
572,3.7895,257.0,0.0135
1221,3.7895,258.0,0.0108
170,3.7895,259.0,0.0083
1109,3.7895,260.0,0.0061
1160,3.7895,261.0,0.0043
381,3.7895,262.0,0.003
1372,3.7895,263.0,0.0023
1405,3.7895,264.0,0.0023
768,3.7895,265.0,0.0029
519,3.7895,266.0,0.0042
647,3.7895,267.0,0.0062
1288,3.7895,268.0,0.009
987,3.7895,269.0,0.0125
326,3.7895,270.0,0.0167
352,3.7895,271.0,0.0217
1041,3.7895,272.0,0.0275
746,3.7895,273.0,0.0339
262,3.7895,274.0,0.041
327,3.7895,275.0,0.0487
980,3.7895,276.0,0.0568
1411,3.7895,277.0,0.0653
529,3.7895,278.0,0.0739
200,3.7895,279.0,0.0824
984,3.7895,280.0,0.0905
137,3.7895,281.0,0.0981
935,3.7895,282.0,0.1048
160,3.7895,283.0,0.1104
532,3.7895,284.0,0.1147
776,3.7895,285.0,0.1174
1401,3.7895,286.0,0.1183
111,3.7895,287.0,0.1174
605,3.7895,288.0,0.1146
123,3.7895,289.0,0.1101
1077,3.7895,290.0,0.1039
1212,4.7368,220.0,0.7006
1058,4.7368,221.0,0.6778
417,4.7368,222.0,0.6514
608,4.7368,223.0,0.6216
349,4.7368,224.0,0.5884
158,4.7368,225.0,0.5523
403,4.7368,226.0,0.5137
347,4.7368,227.0,0.4732
1276,4.7368,228.0,0.4314
1182,4.7368,229.0,0.3892
726,4.7368,230.0,0.3472
1332,4.7368,231.0,0.3062
96,4.7368,232.0,0.267
639,4.7368,233.0,0.2302
456,4.7368,234.0,0.1963
992,4.7368,235.0,0.1658
1170,4.7368,236.0,0.1391
249,4.7368,237.0,0.1161
285,4.7368,238.0,0.097
879,4.7368,239.0,0.0816
602,4.7368,240.0,0.0696
949,4.7368,241.0,0.0606
633,4.7368,242.0,0.0542
1089,4.7368,243.0,0.0498
450,4.7368,244.0,0.0471
332,4.7368,245.0,0.0454
1033,4.7368,246.0,0.0443
1231,4.7368,247.0,0.0434
237,4.7368,248.0,0.0423
311,4.7368,249.0,0.0409
193,4.7368,250.0,0.0389
199,4.7368,251.0,0.0364
215,4.7368,252.0,0.0332
179,4.7368,253.0,0.0296
1312,4.7368,254.0,0.0256
1121,4.7368,255.0,0.0214
759,4.7368,256.0,0.0172
755,4.7368,257.0,0.0132
128,4.7368,258.0,0.0095
524,4.7368,259.0,0.0063
1134,4.7368,260.0,0.0038
288,4.7368,261.0,0.002
280,4.7368,262.0,0.0009
209,4.7368,263.0,0.0006
753,4.7368,264.0,0.0011
894,4.7368,265.0,0.0023
553,4.7368,266.0,0.0043
786,4.7368,267.0,0.007
391,4.7368,268.0,0.0104
1110,4.7368,269.0,0.0145
1168,4.7368,270.0,0.0192
837,4.7368,271.0,0.0245
668,4.7368,272.0,0.0305
1107,4.7368,273.0,0.0371
313,4.7368,274.0,0.0443
1094,4.7368,275.0,0.0521
300,4.7368,276.0,0.0602
810,4.7368,277.0,0.0687
183,4.7368,278.0,0.0773
234,4.7368,279.0,0.0858
301,4.7368,280.0,0.094
1350,4.7368,281.0,0.1016
559,4.7368,282.0,0.1083
1144,4.7368,283.0,0.1139
1174,4.7368,284.0,0.1181
436,4.7368,285.0,0.1207
1181,4.7368,286.0,0.1215
971,4.7368,287.0,0.1204
91,4.7368,288.0,0.1173
834,4.7368,289.0,0.1124
65,4.7368,290.0,0.1058
316,5.6842,220.0,0.6967
472,5.6842,221.0,0.6722
413,5.6842,222.0,0.6439
57,5.6842,223.0,0.612
395,5.6842,224.0,0.5768
1265,5.6842,225.0,0.5388
1369,5.6842,226.0,0.4984
646,5.6842,227.0,0.4564
366,5.6842,228.0,0.4135
488,5.6842,229.0,0.3705
956,5.6842,230.0,0.3284
1373,5.6842,231.0,0.2878
875,5.6842,232.0,0.2496
382,5.6842,233.0,0.2144
482,5.6842,234.0,0.1827
970,5.6842,235.0,0.1549
360,5.6842,236.0,0.1312
1248,5.6842,237.0,0.1116
27,5.6842,238.0,0.0961
895,5.6842,239.0,0.0842
1126,5.6842,240.0,0.0757
931,5.6842,241.0,0.0699
829,5.6842,242.0,0.0664
693,5.6842,243.0,0.0645
832,5.6842,244.0,0.0636
827,5.6842,245.0,0.0632
599,5.6842,246.0,0.0627
1116,5.6842,247.0,0.0618
3,5.6842,248.0,0.0602
1007,5.6842,249.0,0.0577
388,5.6842,250.0,0.0543
222,5.6842,251.0,0.0499
1219,5.6842,252.0,0.0448
635,5.6842,253.0,0.039
446,5.6842,254.0,0.0329
783,5.6842,255.0,0.0268
78,5.6842,256.0,0.0208
198,5.6842,257.0,0.0153
412,5.6842,258.0,0.0105
172,5.6842,259.0,0.0064
510,5.6842,260.0,0.0033
21,5.6842,261.0,0.0012
62,5.6842,262.0,0.0002
520,5.6842,263.0,0.0001
284,5.6842,264.0,0.001
442,5.6842,265.0,0.0028
928,5.6842,266.0,0.0053
355,5.6842,267.0,0.0086
28,5.6842,268.0,0.0126
1376,5.6842,269.0,0.0172
