,angle_deg,freq_THz,trans
211,2.069,248.5714,0.0308
195,2.069,250.0,0.0307
217,2.069,251.4286,0.0302
219,2.069,252.8571,0.029
220,2.069,254.2857,0.0268
223,2.069,255.7143,0.0238
225,2.069,257.1429,0.0202
224,2.069,258.5714,0.0162
226,2.069,260.0,0.0125
210,2.069,261.4286,0.0093
232,2.069,262.8571,0.0071
213,2.069,264.2857,0.0064
215,2.069,265.7143,0.0073
214,2.069,267.1429,0.01
216,2.069,268.5714,0.0144
218,2.069,270.0,0.0205
221,2.069,271.4286,0.028
249,2.069,272.8571,0.0365
234,2.069,274.2857,0.0457
222,2.069,275.7143,0.0551
252,2.069,277.1429,0.0642
237,2.069,278.5714,0.0726
254,2.069,280.0,0.0799
255,2.069,281.4286,0.0857
256,2.069,282.8571,0.0897
259,2.069,284.2857,0.0916
258,2.069,285.7143,0.0913
257,2.069,287.1429,0.0888
261,2.069,288.5714,0.0841
242,2.069,290.0,0.0775
247,2.7586,220.0,0.5992
243,2.7586,221.4286,0.5621
235,2.7586,222.8571,0.5215
244,2.7586,224.2857,0.4777
245,2.7586,225.7143,0.4314
236,2.7586,227.1429,0.3836
238,2.7586,228.5714,0.3354
246,2.7586,230.0,0.2881
241,2.7586,231.4286,0.2429
266,2.7586,232.8571,0.201
268,2.7586,234.2857,0.1635
251,2.7586,235.7143,0.1312
253,2.7586,237.1429,0.1044
250,2.7586,238.5714,0.0833
248,2.7586,240.0,0.0675
260,2.7586,241.4286,0.0566
262,2.7586,242.8571,0.0497
273,2.7586,244.2857,0.0459
279,2.7586,245.7143,0.044
282,2.7586,247.1429,0.043
265,2.7586,248.5714,0.0422
263,2.7586,250.0,0.0409
272,2.7586,251.4286,0.0385
274,2.7586,252.8571,0.035
277,2.7586,254.2857,0.0304
286,2.7586,255.7143,0.025
283,2.7586,257.1429,0.0192
285,2.7586,258.5714,0.0136
276,2.7586,260.0,0.0087
278,2.7586,261.4286,0.0051
284,2.7586,262.8571,0.0031
288,2.7586,264.2857,0.0031
291,2.7586,265.7143,0.0051
292,2.7586,267.1429,0.0091
290,2.7586,268.5714,0.015
287,2.7586,270.0,0.0224
295,2.7586,271.4286,0.0311
289,2.7586,272.8571,0.0406
293,2.7586,274.2857,0.0504
296,2.7586,275.7143,0.06
297,2.7586,277.1429,0.0692
302,2.7586,278.5714,0.0773
303,2.7586,280.0,0.0842
304,2.7586,281.4286,0.0894
306,2.7586,282.8571,0.0927
307,2.7586,284.2857,0.0939
308,2.7586,285.7143,0.0929
294,2.7586,287.1429,0.0898
324,2.7586,288.5714,0.0846
300,2.7586,290.0,0.0776
312,3.4483,220.0,0.5963
316,3.4483,221.4286,0.5577
317,3.4483,222.8571,0.5153
320,3.4483,224.2857,0.4695
322,3.4483,225.7143,0.4213
326,3.4483,227.1429,0.3718
328,3.4483,228.5714,0.3224
298,3.4483,230.0,0.2746
299,3.4483,231.4286,0.2297
331,3.4483,232.8571,0.1891
313,3.4483,234.2857,0.1537
333,3.4483,235.7143,0.1244
334,3.4483,237.1429,0.1012
318,3.4483,238.5714,0.0841
327,3.4483,240.0,0.0725
325,3.4483,241.4286,0.0655
315,3.4483,242.8571,0.062
337,3.4483,244.2857,0.0607
330,3.4483,245.7143,0.0604
329,3.4483,247.1429,0.0601
319,3.4483,248.5714,0.0588
332,3.4483,250.0,0.056
336,3.4483,251.4286,0.0514
335,3.4483,252.8571,0.0451
338,3.4483,254.2857,0.0375
339,3.4483,255.7143,0.0292
341,3.4483,257.1429,0.0208
345,3.4483,258.5714,0.0132
346,3.4483,260.0,0.0069
347,3.4483,261.4286,0.0025
355,3.4483,262.8571,0.0005
356,3.4483,264.2857,0.001
357,3.4483,265.7143,0.0041
358,3.4483,267.1429,0.0094
348,3.4483,268.5714,0.0168
343,3.4483,270.0,0.0257
360,3.4483,271.4286,0.0356
361,3.4483,272.8571,0.0461
349,3.4483,274.2857,0.0565
352,3.4483,275.7143,0.0665
363,3.4483,277.1429,0.0756
365,3.4483,278.5714,0.0834
372,3.4483,280.0,0.0897
354,3.4483,281.4286,0.0942
373,3.4483,282.8571,0.0966
359,3.4483,284.2857,0.097
374,3.4483,285.7143,0.0952
362,3.4483,287.1429,0.0913
371,3.4483,288.5714,0.0854
379,3.4483,290.0,0.0779
369,4.1379,220.0,0.5925
377,4.1379,221.4286,0.5519
376,4.1379,222.8571,0.5072
366,4.1379,224.2857,0.459
378,4.1379,225.7143,0.4087
380,4.1379,227.1429,0.3575
367,4.1379,228.5714,0.307
375,4.1379,230.0,0.259
387,4.1379,231.4286,0.2151
381,4.1379,232.8571,0.1764
391,4.1379,234.2857,0.1442
390,4.1379,235.7143,0.1188
382,4.1379,237.1429,0.1003
386,4.1379,238.5714,0.0881
392,4.1379,240.0,0.0815
389,4.1379,241.4286,0.0791
393,4.1379,242.8571,0.0795
397,4.1379,244.2857,0.0812
399,4.1379,245.7143,0.0828
400,4.1379,247.1429,0.0831
402,4.1379,248.5714,0.0812
410,4.1379,250.0,0.0767
404,4.1379,251.4286,0.0697
405,4.1379,252.8571,0.0604
409,4.1379,254.2857,0.0495
407,4.1379,255.7143,0.0379
408,4.1379,257.1429,0.0265
398,4.1379,258.5714,0.0164
396,4.1379,260.0,0.0083
411,4.1379,261.4286,0.0028
415,4.1379,262.8571,0.0005
406,4.1379,264.2857,0.0013
412,4.1379,265.7143,0.0051
414,4.1379,267.1429,0.0117
401,4.1379,268.5714,0.0204
417,4.1379,270.0,0.0306
416,4.1379,271.4286,0.0418
420,4.1379,272.8571,0.0531
421,4.1379,274.2857,0.0642
419,4.1379,275.7143,0.0745
418,4.1379,277.1429,0.0835
413,4.1379,278.5714,0.0909
422,4.1379,280.0,0.0966
429,4.1379,281.4286,0.1002
423,4.1379,282.8571,0.1017
448,4.1379,284.2857,0.1011
424,4.1379,285.7143,0.0982
431,4.1379,287.1429,0.0934
447,4.1379,288.5714,0.0866
425,4.1379,290.0,0.0784
457,4.8276,220.0,0.5873
430,4.8276,221.4286,0.5443
458,4.8276,222.8571,0.4969
459,4.8276,224.2857,0.4462
428,4.8276,225.7143,0.3936
432,4.8276,227.1429,0.3409
438,4.8276,228.5714,0.2898
439,4.8276,230.0,0.2423
441,4.8276,231.4286,0.2001
444,4.8276,232.8571,0.1644
466,4.8276,234.2857,0.1362
446,4.8276,235.7143,0.1157
467,4.8276,237.1429,0.1027
449,4.8276,238.5714,0.0964
436,4.8276,240.0,0.0955
435,4.8276,241.4286,0.0983
434,4.8276,242.8571,0.1031
453,4.8276,244.2857,0.108
451,4.8276,245.7143,0.1116
450,4.8276,247.1429,0.1125
454,4.8276,248.5714,0.11
443,4.8276,250.0,0.1038
456,4.8276,251.4286,0.0941
442,4.8276,252.8571,0.0815
445,4.8276,254.2857,0.067
463,4.8276,255.7143,0.0518
461,4.8276,257.1429,0.0372
460,4.8276,258.5714,0.0242
483,4.8276,260.0,0.014
484,4.8276,261.4286,0.0071
476,4.8276,262.8571,0.004
485,4.8276,264.2857,0.0047
478,4.8276,265.7143,0.009
469,4.8276,267.1429,0.0164
477,4.8276,268.5714,0.0261
465,4.8276,270.0,0.0374
471,4.8276,271.4286,0.0496
481,4.8276,272.8571,0.0618
482,4.8276,274.2857,0.0734
475,4.8276,275.7143,0.0839
474,4.8276,277.1429,0.0928
473,4.8276,278.5714,0.0999
472,4.8276,280.0,0.1049
486,4.8276,281.4286,0.1077
480,4.8276,282.8571,0.1082
488,4.8276,284.2857,0.1063
492,4.8276,285.7143,0.1023
491,4.8276,287.1429,0.0963
490,4.8276,288.5714,0.0885
497,4.8276,290.0,0.0795
494,5.5172,220.0,0.58
502,5.5172,221.4286,0.5343
487,5.5172,222.8571,0.4843
489,5.5172,224.2857,0.4311
509,5.5172,225.7143,0.3767
510,5.5172,227.1429,0.3228
496,5.5172,228.5714,0.2718
499,5.5172,230.0,0.2256
498,5.5172,231.4286,0.1859
511,5.5172,232.8571,0.1541
505,5.5172,234.2857,0.1309
500,5.5172,235.7143,0.1163
